date,product_code,product,variant,sold_quantity
2020-09-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,202
2020-09-01,A0118150102,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Plus,162
2020-09-01,A0118150103,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Premium,193
2020-09-01,A0118150104,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache","Premium Plus",146
2020-09-01,A0219150201,"AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm",Standard,149
2020-09-01,A0219150202,"AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm",Plus,107
2020-09-01,A0220150203,"AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm",Premium,123
2020-09-01,A0320150301,"AQ Zion Saga",Standard,146
2020-09-01,A0321150302,"AQ Zion Saga",Plus,236
2020-09-01,A0321150303,"AQ Zion Saga",Premium,137
2020-09-01,A0418150103,"AQ Mforce Gen X","Standard 3",23
2020-09-01,A0418150104,"AQ Mforce Gen X","Plus 1",82
2020-09-01,A0418150105,"AQ Mforce Gen X","Plus 2",86
2020-09-01,A0418150106,"AQ Mforce Gen X","Plus 3",48
2020-09-01,A0519150201,"AQ Mforce Gen Y","Standard 1",138
2020-09-01,A0519150202,"AQ Mforce Gen Y","Standard 2",72
2020-09-01,A0519150203,"AQ Mforce Gen Y","Standard 3",38
2020-09-01,A0519150204,"AQ Mforce Gen Y","Plus 1",149
2020-09-01,A0519150205,"AQ Mforce Gen Y","Plus 2",29
2020-09-01,A0519150206,"AQ Mforce Gen Y","Plus 3",28
2020-09-01,A0519150207,"AQ Mforce Gen Y","Premium 1",171
2020-09-01,A0519150208,"AQ Mforce Gen Y","Premium 2",118
2020-09-01,A0619150301,"AQ Mforce Gen Z","Standard 1",51
2020-09-01,A0619150302,"AQ Mforce Gen Z","Standard 2",191
2020-09-01,A0620150303,"AQ Mforce Gen Z","Standard 3",167
2020-09-01,A0620150304,"AQ Mforce Gen Z","Plus 1",122
2020-09-01,A0620150305,"AQ Mforce Gen Z","Plus 2",173
2020-09-01,A0620150306,"AQ Mforce Gen Z","Plus 3",182
2020-09-01,A0621150307,"AQ Mforce Gen Z","Premium 1",177
2020-09-01,A0621150308,"AQ Mforce Gen Z","Premium 2",166
2020-09-01,A0721150401,"AQ GT 21",Standard,22
2020-09-01,A0721150402,"AQ GT 21","Plus 1",62
2020-09-01,A0721150403,"AQ GT 21","Plus 2",57
2020-09-01,A0721150404,"AQ GT 21",Premium,182
2020-09-01,A0821150501,"AQ Marquee P3",Standard,120
2020-09-01,A0821150502,"AQ Marquee P3","Plus 1",106
2020-09-01,A0821150503,"AQ Marquee P3","Plus 2",172
2020-09-01,A0821150504,"AQ Marquee P3",Premium,197
2020-09-01,A0921150601,"AQ Marquee P4",Standard,56
2020-09-01,A1018150101,"AQ 5000 Series Electron 9 5900X Desktop Processor",Standard,91
2020-09-01,A1018150102,"AQ 5000 Series Electron 9 5900X Desktop Processor",Plus,51
2020-09-01,A1018150103,"AQ 5000 Series Electron 9 5900X Desktop Processor",Premium,159
2020-09-01,A1118150201,"AQ 5000 Series Electron 8 5900X Desktop Processor",Standard,106
2020-09-01,A1118150202,"AQ 5000 Series Electron 8 5900X Desktop Processor",Plus,33
2020-09-01,A1119150203,"AQ 5000 Series Electron 8 5900X Desktop Processor",Premium,158
2020-09-01,A1219150301,"AQ 5000 Series Ultron 8 5900X Desktop Processor",Standard,114
2020-09-01,A1219150302,"AQ 5000 Series Ultron 8 5900X Desktop Processor",Plus,168
2020-09-01,A1219150303,"AQ 5000 Series Ultron 8 5900X Desktop Processor",Premium,153
2020-09-01,A1319150401,"AQ Electron 5 3600 Desktop Processor",Standard,152
2020-09-01,A1320150402,"AQ Electron 5 3600 Desktop Processor",Plus,112
2020-09-01,A1320150403,"AQ Electron 5 3600 Desktop Processor",Premium,186
2020-09-01,A1420150501,"AQ Electron 4 3600 Desktop Processor",Standard,87
2020-09-01,A1420150502,"AQ Electron 4 3600 Desktop Processor",Plus,81
2020-09-01,A1421150503,"AQ Electron 4 3600 Desktop Processor",Premium,84
2020-09-01,A1521150601,"AQ Electron 3 3600 Desktop Processor",Standard,82
2020-09-01,A1521150602,"AQ Electron 3 3600 Desktop Processor",Plus,168
2020-09-01,A1618150101,"AQ MB Elite",Standard,117
2020-09-01,A1618150102,"AQ MB Elite","Plus 1",141
2020-09-01,A1618150103,"AQ MB Elite","Plus 2",43
2020-09-01,A1618150104,"AQ MB Elite",Premium,67
2020-09-01,A1718150201,"AQ MB Crossx",Standard,37
2020-09-01,A1718150202,"AQ MB Crossx","Plus 1",102
2020-09-01,A1718150203,"AQ MB Crossx","Plus 2",110
2020-09-01,A1718150204,"AQ MB Crossx",Premium,32
2020-09-01,A1819150301,"AQ MB Crossx 2",Standard,20
2020-09-01,A1819150302,"AQ MB Crossx 2","Plus 1",38
2020-09-01,A1819150303,"AQ MB Crossx 2","Plus 2",48
2020-09-01,A1819150304,"AQ MB Crossx 2",Premium,84
2020-09-01,A1919150401,"AQ MB Lito",Standard,103
2020-09-01,A1919150402,"AQ MB Lito","Plus 1",144
2020-09-01,A1919150403,"AQ MB Lito","Plus 2",54
2020-09-01,A1920150404,"AQ MB Lito",Premium,81
2020-09-01,A2020150501,"AQ MB Lito 2",Standard,143
2020-09-01,A2020150502,"AQ MB Lito 2","Plus 1",115
2020-09-01,A2021150503,"AQ MB Lito 2","Plus 2",17
2020-09-01,A2118150101,"AQ Master wired x1 Ms","Standard 1",537
2020-09-01,A2118150102,"AQ Master wired x1 Ms","Standard 2",177
2020-09-01,A2118150103,"AQ Master wired x1 Ms","Plus 1",383
2020-09-01,A2118150104,"AQ Master wired x1 Ms","Plus 2",433
2020-09-01,A2118150105,"AQ Master wired x1 Ms","Premium 1",844
2020-09-01,A2118150106,"AQ Master wired x1 Ms","Premium 2",944
2020-09-01,A2218150201,"AQ Master wireless x1 Ms","Standard 1",129
2020-09-01,A2218150202,"AQ Master wireless x1 Ms","Standard 2",218
2020-09-01,A2219150203,"AQ Master wireless x1 Ms","Plus 1",686
2020-09-01,A2219150204,"AQ Master wireless x1 Ms","Plus 2",749
2020-09-01,A2219150205,"AQ Master wireless x1 Ms","Premium 1",969
2020-09-01,A2219150206,"AQ Master wireless x1 Ms","Premium 2",578
2020-09-01,A2319150301,"AQ Gamers Ms","Standard 1",765
2020-09-01,A2319150302,"AQ Gamers Ms","Standard 2",537
2020-09-01,A2319150303,"AQ Gamers Ms","Plus 1",888
2020-09-01,A2319150304,"AQ Gamers Ms","Plus 2",466
2020-09-01,A2319150305,"AQ Gamers Ms","Premium 1",516
2020-09-01,A2319150306,"AQ Gamers Ms","Premium 2",200
2020-09-01,A2419150401,"AQ Lite Ms","Standard 1",181
2020-09-01,A2419150402,"AQ Lite Ms","Standard 2",218
2020-09-01,A2419150403,"AQ Lite Ms","Plus 1",310
2020-09-01,A2419150404,"AQ Lite Ms","Plus 2",144
2020-09-01,A2419150405,"AQ Lite Ms","Premium 1",495
2020-09-01,A2420150406,"AQ Lite Ms","Premium 2",302
2020-09-01,A2520150501,"AQ Maxima Ms","Standard 1",1036
2020-09-01,A2520150502,"AQ Maxima Ms","Standard 2",903
2020-09-01,A2520150503,"AQ Maxima Ms","Plus 1",872
2020-09-01,A2520150504,"AQ Maxima Ms","Plus 2",709
2020-09-01,A2520150505,"AQ Maxima Ms","Premium 1",497
2020-09-01,A2520150506,"AQ Maxima Ms","Premium 2",973
2020-09-01,A2620150601,"AQ Qwerty Ms","Standard 1",570
2020-09-01,A2620150602,"AQ Qwerty Ms","Standard 2",664
2020-09-01,A2620150603,"AQ Qwerty Ms","Plus 1",915
2020-09-01,A2620150604,"AQ Qwerty Ms","Plus 2",433
2020-09-01,A2620150605,"AQ Qwerty Ms","Premium 1",200
2020-09-01,A2620150606,"AQ Qwerty Ms","Premium 2",688
2020-09-01,A2720150701,"AQ Trigger Ms","Standard 1",822
2020-09-01,A2721150702,"AQ Trigger Ms","Standard 2",171
2020-09-01,A2721150703,"AQ Trigger Ms","Plus 1",331
2020-09-01,A2721150704,"AQ Trigger Ms","Plus 2",472
2020-09-01,A2721150705,"AQ Trigger Ms","Premium 1",1021
2020-09-01,A2721150706,"AQ Trigger Ms","Premium 2",404
2020-09-01,A2821150801,"AQ Lumina Ms","Standard 1",314
2020-09-01,A2918150101,"AQ Master wired x1","Standard 1",373
2020-09-01,A2918150102,"AQ Master wired x1","Standard 2",296
2020-09-01,A2918150103,"AQ Master wired x1","Plus 1",290
2020-09-01,A2918150104,"AQ Master wired x1","Plus 2",239
2020-09-01,A2918150105,"AQ Master wired x1","Premium 1",364
2020-09-01,A2918150106,"AQ Master wired x1","Premium 2",602
2020-09-01,A3018150201,"AQ Master wireless x1","Standard 1",649
2020-09-01,A3018150202,"AQ Master wireless x1","Standard 2",876
2020-09-01,A3018150203,"AQ Master wireless x1","Plus 1",635
2020-09-01,A3019150204,"AQ Master wireless x1","Plus 2",202
2020-09-01,A3019150205,"AQ Master wireless x1","Premium 1",260
2020-09-01,A3019150206,"AQ Master wireless x1","Premium 2",266
2020-09-01,A3119150301,"AQ Gamers ","Standard 1",560
2020-09-01,A3119150302,"AQ Gamers ","Standard 2",396
2020-09-01,A3119150303,"AQ Gamers ","Plus 1",387
2020-09-01,A3120150304,"AQ Gamers ","Plus 2",831
2020-09-01,A3120150305,"AQ Gamers ","Premium 1",609
2020-09-01,A3120150306,"AQ Gamers ","Premium 2",194
2020-09-01,A3220150401,"AQ Lite","Standard 1",197
2020-09-01,A3220150402,"AQ Lite","Standard 2",275
2020-09-01,A3220150403,"AQ Lite","Plus 1",781
2020-09-01,A3220150404,"AQ Lite","Plus 2",861
2020-09-01,A3220150405,"AQ Lite","Premium 1",224
2020-09-01,A3220150406,"AQ Lite","Premium 2",451
2020-09-01,A3320150501,"AQ Maxima","Standard 1",195
2020-09-01,A3320150502,"AQ Maxima","Standard 2",172
2020-09-01,A3320150503,"AQ Maxima","Plus 1",637
2020-09-01,A3320150504,"AQ Maxima","Plus 2",723
2020-09-01,A3320150505,"AQ Maxima","Premium 1",576
2020-09-01,A3320150506,"AQ Maxima","Premium 2",530
2020-09-01,A3420150601,"AQ Qwerty","Standard 1",375
2020-09-01,A3420150602,"AQ Qwerty","Standard 2",206
2020-09-01,A3421150603,"AQ Qwerty","Plus 1",579
2020-09-01,A3421150604,"AQ Qwerty","Plus 2",114
2020-09-01,A3421150605,"AQ Qwerty","Premium 1",417
2020-09-01,A3421150606,"AQ Qwerty","Premium 2",368
2020-09-01,A3521150701,"AQ Trigger","Standard 1",92
2020-09-01,A3521150702,"AQ Trigger","Standard 2",389
2020-09-01,A3521150703,"AQ Trigger","Plus 1",444
2020-09-01,A3521150704,"AQ Trigger","Plus 2",137
2020-09-01,A3521150705,"AQ Trigger","Premium 1",796
2020-09-01,A3718150101,"AQ LION x1",Standard,34
2020-09-01,A3718150102,"AQ LION x1","Plus 1 ",25
2020-09-01,A3718150103,"AQ LION x1","Plus 2",28
2020-09-01,A3718150105,"AQ LION x1",Premium,51
2020-09-01,A3818150201,"AQ LION x2",Standard,78
2020-09-01,A3818150202,"AQ LION x2","Plus 1 ",87
2020-09-01,A3819150203,"AQ LION x2","Plus 2",88
2020-09-01,A3819150204,"AQ LION x2","Plus 3",28
2020-09-01,A3819150205,"AQ LION x2",Premium,55
2020-09-01,A3920150301,"AQ LION x3",Standard,69
2020-09-01,A3920150302,"AQ LION x3","Plus 1 ",33
2020-09-01,A3920150303,"AQ LION x3","Plus 2",79
2020-09-01,A3920150304,"AQ LION x3","Plus 3",75
2020-09-01,A3920150305,"AQ LION x3",Premium,66
2020-09-01,A4020150401,"AQ Mx NB",Standard,31
2020-09-01,A4020150402,"AQ Mx NB","Plus 1 ",23
