date,fiscal_year,product_code,customer_code,sold_quantity
2020-09-01,2021,A0118150101,90002002,202
2020-09-01,2021,A0118150102,90002002,162
2020-09-01,2021,A0118150103,90002002,193
2020-09-01,2021,A0118150104,90002002,146
2020-09-01,2021,A0219150201,90002002,149
2020-09-01,2021,A0219150202,90002002,107
2020-09-01,2021,A0220150203,90002002,123
2020-09-01,2021,A0320150301,90002002,146
2020-09-01,2021,A0321150302,90002002,236
2020-09-01,2021,A0321150303,90002002,137
2020-09-01,2021,A0418150103,90002002,23
2020-09-01,2021,A0418150104,90002002,82
2020-09-01,2021,A0418150105,90002002,86
2020-09-01,2021,A0418150106,90002002,48
2020-09-01,2021,A0519150201,90002002,138
2020-09-01,2021,A0519150202,90002002,72
2020-09-01,2021,A0519150203,90002002,38
2020-09-01,2021,A0519150204,90002002,149
2020-09-01,2021,A0519150205,90002002,29
2020-09-01,2021,A0519150206,90002002,28
2020-09-01,2021,A0519150207,90002002,171
2020-09-01,2021,A0519150208,90002002,118
2020-09-01,2021,A0619150301,90002002,51
2020-09-01,2021,A0619150302,90002002,191
2020-09-01,2021,A0620150303,90002002,167
2020-09-01,2021,A0620150304,90002002,122
2020-09-01,2021,A0620150305,90002002,173
2020-09-01,2021,A0620150306,90002002,182
2020-09-01,2021,A0621150307,90002002,177
2020-09-01,2021,A0621150308,90002002,166
2020-09-01,2021,A0721150401,90002002,22
2020-09-01,2021,A0721150402,90002002,62
2020-09-01,2021,A0721150403,90002002,57
2020-09-01,2021,A0721150404,90002002,182
2020-09-01,2021,A0821150501,90002002,120
2020-09-01,2021,A0821150502,90002002,106
2020-09-01,2021,A0821150503,90002002,172
2020-09-01,2021,A0821150504,90002002,197
2020-09-01,2021,A0921150601,90002002,56
2020-09-01,2021,A1018150101,90002002,91
2020-09-01,2021,A1018150102,90002002,51
2020-09-01,2021,A1018150103,90002002,159
2020-09-01,2021,A1118150201,90002002,106
2020-09-01,2021,A1118150202,90002002,33
2020-09-01,2021,A1119150203,90002002,158
2020-09-01,2021,A1219150301,90002002,114
2020-09-01,2021,A1219150302,90002002,168
2020-09-01,2021,A1219150303,90002002,153
2020-09-01,2021,A1319150401,90002002,152
2020-09-01,2021,A1320150402,90002002,112
2020-09-01,2021,A1320150403,90002002,186
2020-09-01,2021,A1420150501,90002002,87
2020-09-01,2021,A1420150502,90002002,81
2020-09-01,2021,A1421150503,90002002,84
2020-09-01,2021,A1521150601,90002002,82
2020-09-01,2021,A1521150602,90002002,168
2020-09-01,2021,A1618150101,90002002,117
2020-09-01,2021,A1618150102,90002002,141
2020-09-01,2021,A1618150103,90002002,43
2020-09-01,2021,A1618150104,90002002,67
2020-09-01,2021,A1718150201,90002002,37
2020-09-01,2021,A1718150202,90002002,102
2020-09-01,2021,A1718150203,90002002,110
2020-09-01,2021,A1718150204,90002002,32
2020-09-01,2021,A1819150301,90002002,20
2020-09-01,2021,A1819150302,90002002,38
2020-09-01,2021,A1819150303,90002002,48
2020-09-01,2021,A1819150304,90002002,84
2020-09-01,2021,A1919150401,90002002,103
2020-09-01,2021,A1919150402,90002002,144
2020-09-01,2021,A1919150403,90002002,54
2020-09-01,2021,A1920150404,90002002,81
2020-09-01,2021,A2020150501,90002002,143
2020-09-01,2021,A2020150502,90002002,115
2020-09-01,2021,A2021150503,90002002,17
2020-09-01,2021,A2118150101,90002002,537
2020-09-01,2021,A2118150102,90002002,177
2020-09-01,2021,A2118150103,90002002,383
2020-09-01,2021,A2118150104,90002002,433
2020-09-01,2021,A2118150105,90002002,844
2020-09-01,2021,A2118150106,90002002,944
2020-09-01,2021,A2218150201,90002002,129
2020-09-01,2021,A2218150202,90002002,218
2020-09-01,2021,A2219150203,90002002,686
2020-09-01,2021,A2219150204,90002002,749
2020-09-01,2021,A2219150205,90002002,969
2020-09-01,2021,A2219150206,90002002,578
2020-09-01,2021,A2319150301,90002002,765
2020-09-01,2021,A2319150302,90002002,537
2020-09-01,2021,A2319150303,90002002,888
2020-09-01,2021,A2319150304,90002002,466
2020-09-01,2021,A2319150305,90002002,516
2020-09-01,2021,A2319150306,90002002,200
2020-09-01,2021,A2419150401,90002002,181
2020-09-01,2021,A2419150402,90002002,218
2020-09-01,2021,A2419150403,90002002,310
2020-09-01,2021,A2419150404,90002002,144
2020-09-01,2021,A2419150405,90002002,495
2020-09-01,2021,A2420150406,90002002,302
2020-09-01,2021,A2520150501,90002002,1036
2020-09-01,2021,A2520150502,90002002,903
2020-09-01,2021,A2520150503,90002002,872
2020-09-01,2021,A2520150504,90002002,709
2020-09-01,2021,A2520150505,90002002,497
2020-09-01,2021,A2520150506,90002002,973
2020-09-01,2021,A2620150601,90002002,570
2020-09-01,2021,A2620150602,90002002,664
2020-09-01,2021,A2620150603,90002002,915
2020-09-01,2021,A2620150604,90002002,433
2020-09-01,2021,A2620150605,90002002,200
2020-09-01,2021,A2620150606,90002002,688
2020-09-01,2021,A2720150701,90002002,822
2020-09-01,2021,A2721150702,90002002,171
2020-09-01,2021,A2721150703,90002002,331
2020-09-01,2021,A2721150704,90002002,472
2020-09-01,2021,A2721150705,90002002,1021
2020-09-01,2021,A2721150706,90002002,404
2020-09-01,2021,A2821150801,90002002,314
2020-09-01,2021,A2918150101,90002002,373
2020-09-01,2021,A2918150102,90002002,296
2020-09-01,2021,A2918150103,90002002,290
2020-09-01,2021,A2918150104,90002002,239
2020-09-01,2021,A2918150105,90002002,364
2020-09-01,2021,A2918150106,90002002,602
2020-09-01,2021,A3018150201,90002002,649
2020-09-01,2021,A3018150202,90002002,876
2020-09-01,2021,A3018150203,90002002,635
2020-09-01,2021,A3019150204,90002002,202
2020-09-01,2021,A3019150205,90002002,260
2020-09-01,2021,A3019150206,90002002,266
2020-09-01,2021,A3119150301,90002002,560
2020-09-01,2021,A3119150302,90002002,396
2020-09-01,2021,A3119150303,90002002,387
2020-09-01,2021,A3120150304,90002002,831
2020-09-01,2021,A3120150305,90002002,609
2020-09-01,2021,A3120150306,90002002,194
2020-09-01,2021,A3220150401,90002002,197
2020-09-01,2021,A3220150402,90002002,275
2020-09-01,2021,A3220150403,90002002,781
2020-09-01,2021,A3220150404,90002002,861
2020-09-01,2021,A3220150405,90002002,224
2020-09-01,2021,A3220150406,90002002,451
2020-09-01,2021,A3320150501,90002002,195
2020-09-01,2021,A3320150502,90002002,172
2020-09-01,2021,A3320150503,90002002,637
2020-09-01,2021,A3320150504,90002002,723
2020-09-01,2021,A3320150505,90002002,576
2020-09-01,2021,A3320150506,90002002,530
2020-09-01,2021,A3420150601,90002002,375
2020-09-01,2021,A3420150602,90002002,206
2020-09-01,2021,A3421150603,90002002,579
2020-09-01,2021,A3421150604,90002002,114
2020-09-01,2021,A3421150605,90002002,417
2020-09-01,2021,A3421150606,90002002,368
2020-09-01,2021,A3521150701,90002002,92
2020-09-01,2021,A3521150702,90002002,389
2020-09-01,2021,A3521150703,90002002,444
2020-09-01,2021,A3521150704,90002002,137
2020-09-01,2021,A3521150705,90002002,796
2020-09-01,2021,A3718150101,90002002,34
2020-09-01,2021,A3718150102,90002002,25
2020-09-01,2021,A3718150103,90002002,28
2020-09-01,2021,A3718150105,90002002,51
2020-09-01,2021,A3818150201,90002002,78
2020-09-01,2021,A3818150202,90002002,87
2020-09-01,2021,A3819150203,90002002,88
2020-09-01,2021,A3819150204,90002002,28
2020-09-01,2021,A3819150205,90002002,55
2020-09-01,2021,A3920150301,90002002,69
2020-09-01,2021,A3920150302,90002002,33
2020-09-01,2021,A3920150303,90002002,79
2020-09-01,2021,A3920150304,90002002,75
2020-09-01,2021,A3920150305,90002002,66
2020-09-01,2021,A4020150401,90002002,31
2020-09-01,2021,A4020150402,90002002,23
2020-09-01,2021,A4021150403,90002002,52
2020-09-01,2021,A4021150404,90002002,75
2020-09-01,2021,A4021150405,90002002,36
2020-09-01,2021,A4118110105,90002002,22
2020-09-01,2021,A4118110106,90002002,9
2020-09-01,2021,A4118110107,90002002,20
2020-09-01,2021,A4218110201,90002002,11
2020-09-01,2021,A4218110202,90002002,9
2020-09-01,2021,A4218110203,90002002,11
2020-09-01,2021,A4218110204,90002002,27
2020-09-01,2021,A4218110205,90002002,40
2020-09-01,2021,A4218110206,90002002,15
2020-09-01,2021,A4218110207,90002002,26
2020-09-01,2021,A4218110208,90002002,34
2020-09-01,2021,A4318110301,90002002,29
2020-09-01,2021,A4319110302,90002002,38
2020-09-01,2021,A4319110303,90002002,36
2020-09-01,2021,A4319110304,90002002,40
2020-09-01,2021,A4319110305,90002002,23
2020-09-01,2021,A4319110306,90002002,29
2020-09-01,2021,A4419110401,90002002,9
2020-09-01,2021,A4419110402,90002002,37
2020-09-01,2021,A4419110403,90002002,16
2020-09-01,2021,A4419110404,90002002,29
2020-09-01,2021,A4419110405,90002002,15
2020-09-01,2021,A4419110406,90002002,9
2020-09-01,2021,A4419110407,90002002,12
2020-09-01,2021,A4419110408,90002002,19
2020-09-01,2021,A4519110501,90002002,31
2020-09-01,2021,A4519110502,90002002,40
2020-09-01,2021,A4519110503,90002002,21
2020-09-01,2021,A4520110504,90002002,22
2020-09-01,2021,A4520110505,90002002,24
2020-09-01,2021,A4520110506,90002002,35
2020-09-01,2021,A4520110507,90002002,29
2020-09-01,2021,A4520110508,90002002,28
2020-09-01,2021,A4620110601,90002002,31
2020-09-01,2021,A4620110602,90002002,10
2020-09-01,2021,A4620110603,90002002,8
2020-09-01,2021,A4620110604,90002002,11
2020-09-01,2021,A4620110605,90002002,16
2020-09-01,2021,A4620110606,90002002,33
2020-09-01,2021,A4620110607,90002002,20
2020-09-01,2021,A4620110608,90002002,27
2020-09-01,2021,A4720110701,90002002,10
2020-09-01,2021,A4720110702,90002002,17
2020-09-01,2021,A4721110703,90002002,13
2020-09-01,2021,A4721110704,90002002,38
2020-09-01,2021,A4721110705,90002002,11
2020-09-01,2021,A4918110101,90002002,13
2020-09-01,2021,A4918110102,90002002,10
2020-09-01,2021,A4918110103,90002002,28
2020-09-01,2021,A4918110104,90002002,15
2020-09-01,2021,A5018110201,90002002,17
2020-09-01,2021,A5018110202,90002002,16
2020-09-01,2021,A5018110203,90002002,10
2020-09-01,2021,A5018110204,90002002,14
2020-09-01,2021,A5018110205,90002002,24
2020-09-01,2021,A5018110206,90002002,27
2020-09-01,2021,A5018110207,90002002,17
2020-09-01,2021,A5019110208,90002002,19
2020-09-01,2021,A5119110301,90002002,10
2020-09-01,2021,A5119110302,90002002,24
2020-09-01,2021,A5119110303,90002002,23
2020-09-01,2021,A5119110305,90002002,7
2020-09-01,2021,A5119110306,90002002,26
2020-09-01,2021,A5119110307,90002002,27
2020-09-01,2021,A5119110308,90002002,9
2020-09-01,2021,A5219110401,90002002,27
2020-09-01,2021,A5219110402,90002002,20
2020-09-01,2021,A5219110403,90002002,12
2020-09-01,2021,A5219110405,90002002,11
2020-09-01,2021,A5219110406,90002002,18
2020-09-01,2021,A5219110407,90002002,22
2020-09-01,2021,A5220110408,90002002,12
2020-09-01,2021,A5318110103,90002002,6
2020-09-01,2021,A5318110104,90002002,9
2020-09-01,2021,A5318110105,90002002,8
2020-09-01,2021,A5318110106,90002002,14
2020-09-01,2021,A5318110107,90002002,8
2020-09-01,2021,A5318110108,90002002,17
2020-09-01,2021,A5419110201,90002002,11
2020-09-01,2021,A5419110202,90002002,6
2020-09-01,2021,A5419110203,90002002,14
2020-09-01,2021,A5419110204,90002002,5
2020-09-01,2021,A5419110205,90002002,7
2020-09-01,2021,A5419110206,90002002,4
2020-09-01,2021,A5419110207,90002002,5
2020-09-01,2021,A5419110208,90002002,4
2020-09-01,2021,A5519110301,90002002,3
2020-09-01,2021,A5519110302,90002002,13
2020-09-01,2021,A5519110303,90002002,4
2020-09-01,2021,A5519110304,90002002,6
2020-09-01,2021,A5520110305,90002002,6
2020-09-01,2021,A5520110306,90002002,14
2020-09-01,2021,A5520110307,90002002,5
2020-09-01,2021,A5520110308,90002002,11
2020-09-01,2021,A5620110401,90002002,8
2020-09-01,2021,A5620110402,90002002,8
2020-09-01,2021,A5621110403,90002002,13
2020-09-01,2021,A5621110404,90002002,15
